date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:08	50/50	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/page-data/app-data.json	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/page-data/app-data.json	(from https://abdullahbozdag.com/)
14:31:10	21/21	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2024%20Jun%202021%2011:31:09%20GMT	https://abdullahbozdag.com/blog	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/blog	(from https://abdullahbozdag.com/)
14:31:10	19344/19344	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/blog/	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/blog/index.html	(from https://abdullahbozdag.com/)
14:31:11	27/27	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2024%20Jun%202021%2011:31:10%20GMT	https://abdullahbozdag.com/projelerim	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/projelerim	(from https://abdullahbozdag.com/)
14:31:11	21535/21535	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/projelerim/	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/projelerim/index.html	(from https://abdullahbozdag.com/)
14:31:11	25/25	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2024%20Jun%202021%2011:31:11%20GMT	https://abdullahbozdag.com/hakkimda	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/hakkimda	(from https://abdullahbozdag.com/)
14:31:12	4240/4240	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Jun%202021%2011:31:12%20GMT	https://abdullahbozdag.com/cdn-cgi/l/email-protection	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/cdn-cgi/l/email-protection.html	(from https://abdullahbozdag.com/)
14:31:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260cb6384-4d7%22	https://abdullahbozdag.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://abdullahbozdag.com/)
14:31:13	19859/19859	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/hakkimda/	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/hakkimda/index.html	(from https://abdullahbozdag.com/)
14:31:17	49377/49377	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Jun%202021%2017:36:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Siteler/AbdullahBozdag/www.google-analytics.com/analytics.js	(from https://abdullahbozdag.com/)
14:31:18	81856/81856	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/polyfill-4e4128c817a2dbbb1be6.js	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/polyfill-4e4128c817a2dbbb1be6.js	(from https://abdullahbozdag.com/)
14:31:20	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260cb6384-302c%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Siteler/AbdullahBozdag/ajax.cloudflare.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://abdullahbozdag.com/)
14:31:21	255907/255907	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/component---src-pages-blog-js-67141383eb667ed84aa3.js	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/component---src-pages-blog-js-67141383eb667ed84aa3.js	(from https://abdullahbozdag.com/blog/)
14:31:21	121/121	---M-Z	200	added ('OK')	application/json	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/page-data/blog/page-data.json	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/page-data/blog/page-data.json	(from https://abdullahbozdag.com/blog/)
14:31:23	84945/84945	---M-Z	200	added ('OK')	image/png	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/static/favicon-49c29f3c29277bd0ef8e2e48cf4a3fcb.png	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/static/favicon-49c29f3c29277bd0ef8e2e48cf4a3fcb.png	(from https://abdullahbozdag.com/projelerim/)
14:31:23	8113/8113	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/component---src-pages-projelerim-js-28283cb5b8c27b2f5880.js	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/component---src-pages-projelerim-js-28283cb5b8c27b2f5880.js	(from https://abdullahbozdag.com/projelerim/)
14:31:24	133/133	---M-Z	200	added ('OK')	application/json	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/page-data/projelerim/page-data.json	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/page-data/projelerim/page-data.json	(from https://abdullahbozdag.com/projelerim/)
14:31:25	4890/4890	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/component---src-pages-hakkimda-js-2af92b045345ac821b59.js	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/component---src-pages-hakkimda-js-2af92b045345ac821b59.js	(from https://abdullahbozdag.com/hakkimda/)
14:31:26	129/129	---M-Z	200	added ('OK')	application/json	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/page-data/hakkimda/page-data.json	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/page-data/hakkimda/page-data.json	(from https://abdullahbozdag.com/hakkimda/)
14:31:40	1046407/1046407	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2011%20Mar%202021%2012:15:20%20GMT	https://abdullahbozdag.com/static/my_working_environment-0e6037cdf9f61739eccfa531b55ef64a.jpg	C:/Siteler/AbdullahBozdag/abdullahbozdag.com/static/my_working_environment-0e6037cdf9f61739eccfa531b55ef64a.jpg	(from https://abdullahbozdag.com/hakkimda/)
